Image: add_1.jpg, Predicted: add
Image: four_1.jpg, Predicted: 4
Image: four_10.jpg, Predicted: 4
Image: four_11.jpg, Predicted: 4
Image: four_12.jpg, Predicted: 4
Image: four_13.jpg, Predicted: 4
Image: four_14.jpg, Predicted: 4
Image: four_15.jpg, Predicted: 4
Image: four_16.jpg, Predicted: 4
Image: four_17.jpg, Predicted: 4
Image: four_18.jpg, Predicted: 4
Image: four_19.jpg, Predicted: 4
Image: four_2.jpg, Predicted: 4
Image: four_20.jpg, Predicted: 4
Image: four_21.jpg, Predicted: 4
Image: four_22.jpg, Predicted: 4
Image: four_23.jpg, Predicted: 4
Image: four_24.jpg, Predicted: 4
Image: four_25.jpg, Predicted: 4
Image: four_26.jpg, Predicted: 4
Image: four_27.jpg, Predicted: 4
Image: four_28.jpg, Predicted: 4
Image: four_29.jpg, Predicted: 4
Image: four_3.jpg, Predicted: 4
Image: four_30.jpg, Predicted: 4
Image: four_31.jpg, Predicted: 4
Image: four_32.jpg, Predicted: 4
Image: four_4.jpg, Predicted: 4
Image: four_5.jpg, Predicted: 4
Image: four_6.jpg, Predicted: 4
Image: four_7.jpg, Predicted: 4
Image: four_8.jpg, Predicted: 4
Image: four_9.jpg, Predicted: 4
Image: mul_1.jpg, Predicted: mul
Image: mul_10.jpg, Predicted: mul
Image: mul_11.jpg, Predicted: mul
Image: mul_12.jpg, Predicted: mul
Image: mul_13.jpg, Predicted: mul
Image: mul_14.jpg, Predicted: mul
Image: mul_15.jpg, Predicted: mul
Image: mul_16.jpg, Predicted: mul
Image: mul_17.jpg, Predicted: mul
Image: mul_18.jpg, Predicted: mul
Image: mul_19.jpg, Predicted: mul
Image: mul_2.jpg, Predicted: mul
Image: mul_20.jpg, Predicted: mul
Image: mul_21.jpg, Predicted: mul
Image: mul_22.jpg, Predicted: mul
Image: mul_23.jpg, Predicted: mul
Image: mul_24.jpg, Predicted: mul
Image: mul_25.jpg, Predicted: mul
Image: mul_26.jpg, Predicted: mul
Image: mul_27.jpg, Predicted: mul
Image: mul_28.jpg, Predicted: mul
Image: mul_29.jpg, Predicted: mul
Image: mul_3.jpg, Predicted: mul
Image: mul_30.jpg, Predicted: mul
Image: mul_31.jpg, Predicted: mul
Image: mul_32.jpg, Predicted: mul
Image: mul_4.jpg, Predicted: mul
Image: mul_5.jpg, Predicted: mul
Image: mul_6.jpg, Predicted: mul
Image: mul_7.jpg, Predicted: mul
Image: mul_8.jpg, Predicted: mul
Image: mul_9.jpg, Predicted: mul
Image: nine_1.jpg, Predicted: 9
Image: nine_10.jpg, Predicted: 9
Image: nine_11.jpg, Predicted: 9
Image: nine_12.jpg, Predicted: 9
Image: nine_13.jpg, Predicted: 9
Image: nine_14.jpg, Predicted: 9
Image: nine_15.jpg, Predicted: 9
Image: nine_16.jpg, Predicted: 9
Image: nine_17.jpg, Predicted: 9
Image: nine_18.jpg, Predicted: 9
Image: nine_19.jpg, Predicted: 9
Image: nine_2.jpg, Predicted: 9
Image: nine_20.jpg, Predicted: 9
Image: nine_21.jpg, Predicted: 9
Image: nine_22.jpg, Predicted: 9
Image: nine_23.jpg, Predicted: 9
Image: nine_24.jpg, Predicted: 9
Image: nine_25.jpg, Predicted: 9
Image: nine_26.jpg, Predicted: 9
Image: nine_27.jpg, Predicted: 9
Image: nine_28.jpg, Predicted: 9
Image: nine_29.jpg, Predicted: 9
Image: nine_3.jpg, Predicted: 9
Image: nine_30.jpg, Predicted: 9
Image: nine_31.jpg, Predicted: 9
Image: nine_32.jpg, Predicted: 9
Image: nine_4.jpg, Predicted: 9
Image: nine_5.jpg, Predicted: 9
Image: nine_6.jpg, Predicted: 9
Image: nine_7.jpg, Predicted: 9
Image: nine_8.jpg, Predicted: 9
Image: nine_9.jpg, Predicted: 9
Image: one_1.jpg, Predicted: 1
Image: one_10.jpg, Predicted: 1
Image: one_11.jpg, Predicted: 1
Image: one_12.jpg, Predicted: 1
Image: one_13.jpg, Predicted: 1
Image: one_14.jpg, Predicted: 1
Image: one_15.jpg, Predicted: 1
Image: one_16.jpg, Predicted: 1
Image: one_17.jpg, Predicted: 1
Image: one_18.jpg, Predicted: 1
Image: one_19.jpg, Predicted: 1
Image: one_2.jpg, Predicted: 1
Image: one_20.jpg, Predicted: 1
Image: one_21.jpg, Predicted: 1
Image: one_22.jpg, Predicted: 1
Image: one_23.jpg, Predicted: 6
Image: one_24.jpg, Predicted: 1
Image: one_25.jpg, Predicted: 1
Image: one_26.jpg, Predicted: 1
Image: one_27.jpg, Predicted: 1
Image: one_28.jpg, Predicted: 1
Image: one_29.jpg, Predicted: 1
Image: one_3.jpg, Predicted: 1
Image: one_30.jpg, Predicted: 1
Image: one_31.jpg, Predicted: 1
Image: one_32.jpg, Predicted: 1
Image: one_4.jpg, Predicted: 1
Image: one_5.jpg, Predicted: 1
Image: one_6.jpg, Predicted: 1
Image: one_7.jpg, Predicted: 1
Image: one_8.jpg, Predicted: 1
Image: one_9.jpg, Predicted: 1
Image: seven_1.jpg, Predicted: 7
Image: seven_10.jpg, Predicted: 7
Image: seven_11.jpg, Predicted: 7
Image: seven_12.jpg, Predicted: 7
Image: seven_13.jpg, Predicted: 7
Image: seven_14.jpg, Predicted: 7
Image: seven_15.jpg, Predicted: 7
Image: seven_16.jpg, Predicted: 7
Image: seven_17.jpg, Predicted: 7
Image: seven_18.jpg, Predicted: 7
Image: seven_19.jpg, Predicted: add
Image: seven_2.jpg, Predicted: 7
Image: seven_20.jpg, Predicted: 7
Image: seven_21.jpg, Predicted: 7
Image: seven_22.jpg, Predicted: 7
Image: seven_23.jpg, Predicted: 7
Image: seven_24.jpg, Predicted: 7
Image: seven_25.jpg, Predicted: 7
Image: seven_26.jpg, Predicted: 7
Image: seven_27.jpg, Predicted: 7
Image: seven_28.jpg, Predicted: 7
Image: seven_29.jpg, Predicted: 7
Image: seven_3.jpg, Predicted: 7
Image: seven_30.jpg, Predicted: 7
Image: seven_31.jpg, Predicted: 7
Image: seven_32.jpg, Predicted: 7
Image: seven_4.jpg, Predicted: 7
Image: seven_5.jpg, Predicted: 7
Image: seven_6.jpg, Predicted: 7
Image: seven_7.jpg, Predicted: 7
Image: seven_8.jpg, Predicted: 7
Image: seven_9.jpg, Predicted: 7
Image: six_1.jpg, Predicted: 6
Image: six_10.jpg, Predicted: 6
Image: six_11.jpg, Predicted: 6
Image: six_12.jpg, Predicted: 6
Image: six_13.jpg, Predicted: 6
Image: six_14.jpg, Predicted: 6
Image: six_15.jpg, Predicted: 6
Image: six_16.jpg, Predicted: 6
Image: six_17.jpg, Predicted: 6
Image: six_18.jpg, Predicted: 6
Image: six_19.jpg, Predicted: 6
Image: six_2.jpg, Predicted: 6
Image: six_20.jpg, Predicted: 6
Image: six_21.jpg, Predicted: 6
Image: six_22.jpg, Predicted: 6
Image: six_23.jpg, Predicted: 6
Image: six_24.jpg, Predicted: 6
Image: six_25.jpg, Predicted: 6
Image: six_26.jpg, Predicted: 6
Image: six_27.jpg, Predicted: 6
Image: six_28.jpg, Predicted: 6
Image: six_29.jpg, Predicted: 6
Image: six_3.jpg, Predicted: 6
Image: six_30.jpg, Predicted: 6
Image: six_31.jpg, Predicted: 6
Image: six_32.jpg, Predicted: 6
Image: six_4.jpg, Predicted: 6
Image: six_5.jpg, Predicted: 6
Image: six_6.jpg, Predicted: 6
Image: six_7.jpg, Predicted: 6
Image: six_8.jpg, Predicted: 6
Image: six_9.jpg, Predicted: 6
Image: sub_1.jpg, Predicted: sub
Image: sub_10.jpg, Predicted: sub
Image: sub_11.jpg, Predicted: sub
Image: sub_12.jpg, Predicted: sub
Image: sub_13.jpg, Predicted: sub
Image: sub_14.jpg, Predicted: sub
Image: sub_15.jpg, Predicted: sub
Image: sub_16.jpg, Predicted: sub
Image: sub_17.jpg, Predicted: sub
Image: sub_18.jpg, Predicted: sub
Image: sub_19.jpg, Predicted: sub
Image: sub_2.jpg, Predicted: sub
Image: sub_20.jpg, Predicted: sub
Image: sub_21.jpg, Predicted: sub
Image: sub_22.jpg, Predicted: sub
Image: sub_23.jpg, Predicted: sub
Image: sub_24.jpg, Predicted: sub
Image: sub_25.jpg, Predicted: sub
Image: sub_26.jpg, Predicted: sub
Image: sub_27.jpg, Predicted: sub
Image: sub_28.jpg, Predicted: sub
Image: sub_29.jpg, Predicted: sub
Image: sub_3.jpg, Predicted: sub
Image: sub_30.jpg, Predicted: sub
Image: sub_31.jpg, Predicted: sub
Image: sub_32.jpg, Predicted: sub
Image: sub_4.jpg, Predicted: sub
Image: sub_5.jpg, Predicted: sub
Image: sub_6.jpg, Predicted: sub
Image: sub_7.jpg, Predicted: sub
Image: sub_8.jpg, Predicted: sub
Image: sub_9.jpg, Predicted: sub
Image: three_1.jpg, Predicted: 3
Image: three_10.jpg, Predicted: 3
Image: three_11.jpg, Predicted: 3
Image: three_12.jpg, Predicted: 3
Image: three_13.jpg, Predicted: 3
Image: three_14.jpg, Predicted: 3
Image: three_15.jpg, Predicted: 3
Image: three_16.jpg, Predicted: 3
Image: three_17.jpg, Predicted: 3
Image: three_18.jpg, Predicted: 3
Image: three_19.jpg, Predicted: 3
Image: three_2.jpg, Predicted: 3
Image: three_20.jpg, Predicted: 3
Image: three_21.jpg, Predicted: 3
Image: three_22.jpg, Predicted: 3
Image: three_23.jpg, Predicted: 3
Image: three_24.jpg, Predicted: 3
Image: three_25.jpg, Predicted: 3
Image: three_26.jpg, Predicted: 3
Image: three_27.jpg, Predicted: 3
Image: three_28.jpg, Predicted: 3
Image: three_29.jpg, Predicted: 3
Image: three_3.jpg, Predicted: 3
Image: three_30.jpg, Predicted: 3
Image: three_31.jpg, Predicted: 3
Image: three_32.jpg, Predicted: 3
Image: three_4.jpg, Predicted: 3
Image: three_5.jpg, Predicted: 3
Image: three_6.jpg, Predicted: 3
Image: three_7.jpg, Predicted: 3
Image: three_8.jpg, Predicted: 3
Image: three_9.jpg, Predicted: 3
Image: two_1.jpg, Predicted: 2
Image: two_10.jpg, Predicted: 2
Image: two_11.jpg, Predicted: 2
Image: two_12.jpg, Predicted: 2
Image: two_13.jpg, Predicted: 2
Image: two_14.jpg, Predicted: 2
Image: two_15.jpg, Predicted: 2
Image: two_16.jpg, Predicted: 2
Image: two_17.jpg, Predicted: 2
Image: two_18.jpg, Predicted: 2
Image: two_19.jpg, Predicted: 2
Image: two_2.jpg, Predicted: 2
Image: two_20.jpg, Predicted: 2
Image: two_21.jpg, Predicted: 2
Image: two_22.jpg, Predicted: 2
Image: two_23.jpg, Predicted: 2
Image: two_24.jpg, Predicted: 2
Image: two_25.jpg, Predicted: 2
Image: two_26.jpg, Predicted: 2
Image: two_27.jpg, Predicted: 2
Image: two_28.jpg, Predicted: 2
Image: two_29.jpg, Predicted: 2
Image: two_3.jpg, Predicted: 2
Image: two_30.jpg, Predicted: 2
Image: two_31.jpg, Predicted: 2
Image: two_32.jpg, Predicted: 2
Image: two_4.jpg, Predicted: 2
Image: two_5.jpg, Predicted: 2
Image: two_6.jpg, Predicted: 1
Image: two_7.jpg, Predicted: 2
Image: two_8.jpg, Predicted: 2
Image: two_9.jpg, Predicted: 2
Image: zero_1.jpg, Predicted: 0
Image: zero_10.jpg, Predicted: 0
Image: zero_11.jpg, Predicted: 0
Image: zero_12.jpg, Predicted: 0
Image: zero_13.jpg, Predicted: 0
Image: zero_14.jpg, Predicted: 0
Image: zero_15.jpg, Predicted: 0
Image: zero_16.jpg, Predicted: 0
Image: zero_17.jpg, Predicted: 0
Image: zero_18.jpg, Predicted: 0
Image: zero_19.jpg, Predicted: 0
Image: zero_2.jpg, Predicted: 0
Image: zero_20.jpg, Predicted: 0
Image: zero_21.jpg, Predicted: 0
Image: zero_22.jpg, Predicted: 0
Image: zero_23.jpg, Predicted: 0
Image: zero_24.jpg, Predicted: 0
Image: zero_25.jpg, Predicted: 0
Image: zero_26.jpg, Predicted: 0
Image: zero_27.jpg, Predicted: 0
Image: zero_28.jpg, Predicted: 0
Image: zero_29.jpg, Predicted: 0
Image: zero_3.jpg, Predicted: 0
Image: zero_30.jpg, Predicted: 0
Image: zero_31.jpg, Predicted: 0
Image: zero_32.jpg, Predicted: 0
Image: zero_4.jpg, Predicted: 0
Image: zero_5.jpg, Predicted: 0
Image: zero_6.jpg, Predicted: 0
Image: zero_7.jpg, Predicted: 0
Image: zero_8.jpg, Predicted: 0
Image: zero_9.jpg, Predicted: 0

Total Classifications: 480
Total Misclassifications: 14
Overall Accuracy: 466/480 (0.9708)

Per-Label Statistics:
Label      Correct    Incorrect  Accuracy  
----------------------------------------
0          32         0          1.0000    
1          31         1          0.9688    
2          31         1          0.9688    
3          32         0          1.0000    
4          32         0          1.0000    
5          30         2          0.9375    
6          32         0          1.0000    
7          31         1          0.9688    
8          32         0          1.0000    
9          32         0          1.0000    
add        31         1          0.9688    
div        31         1          0.9688    
eq         25         7          0.7812    
mul        32         0          1.0000    
sub        32         0          1.0000    
